exp_name,model0_acc,model1_acc,geometric_acc,prediction_acc,naive_acc,geometric_gain,geometric_gain_%,prediction_gain,prediction_gain_%,relative_loss_wrt_prediction,geometric_time,act_bug,act_num_samples,activation_histograms,activation_mode,activation_seed,activation_time,alpha,baseroot,batch_size_test,batch_size_train,center_acts,choice,cifar_init_lr,cifar_style_data,ckpt_type,clip_gm,clip_max,clip_min,config,config_dir,config_file,correction,csv_dir,dataset,debug,deprecated,deterministic,diff_init,disable_bias,dist_epochs,dist_normalize,dump_final_models,dump_model,enable_dropout,ensemble_step,eval_aligned,exact,geom_ensemble_type,gpu_id,gromov,gromov_loss,ground_metric,ground_metric_eff,ground_metric_normalize,handle_skips,importance,learning_rate,load_models,log_interval,model_name,momentum,n_epochs,no_random_trainloaders,normalize_acts,normalize_wts,not_squared,num_hidden_nodes,num_hidden_nodes1,num_hidden_nodes2,num_hidden_nodes3,num_hidden_nodes4,num_models,num_personal_idx,options_type,params_geometric,params_model_0,params_model_1,partial_reshape,partition_dataloader,partition_type,past_correction,personal_class_idx,personal_split_frac,pool_acts,pool_relu,prediction_wts,prelu_acts,print_distances,proper_marginals,recheck_acc,recheck_cifar,reg,reg_m,reinit_trainloaders,result_dir,retrain,retrain_avg_only,retrain_geometric_only,retrain_lr_decay,retrain_lr_decay_epochs,retrain_lr_decay_factor,retrain_seed,rootdir,same_model,save_result_file,second_config,second_model_name,sinkhorn_type,skip_last_layer,skip_last_layer_type,skip_personal_idx,skip_retrain,softmax_temperature,standardize_acts,sweep_id,sweep_name,temperature,tensorboard,tensorboard_root,timestamp,tmap_stats,to_download,trace_sum_ratio_conv1.weight,trace_sum_ratio_layer1.0.conv1.weight,trace_sum_ratio_layer1.0.conv2.weight,trace_sum_ratio_layer1.1.conv1.weight,trace_sum_ratio_layer1.1.conv2.weight,trace_sum_ratio_layer2.0.conv1.weight,trace_sum_ratio_layer2.0.conv2.weight,trace_sum_ratio_layer2.0.shortcut.0.weight,trace_sum_ratio_layer2.1.conv1.weight,trace_sum_ratio_layer2.1.conv2.weight,trace_sum_ratio_layer3.0.conv1.weight,trace_sum_ratio_layer3.0.conv2.weight,trace_sum_ratio_layer3.0.shortcut.0.weight,trace_sum_ratio_layer3.1.conv1.weight,trace_sum_ratio_layer3.1.conv2.weight,trace_sum_ratio_layer4.0.conv1.weight,trace_sum_ratio_layer4.0.conv2.weight,trace_sum_ratio_layer4.0.shortcut.0.weight,trace_sum_ratio_layer4.1.conv1.weight,trace_sum_ratio_layer4.1.conv2.weight,trace_sum_ratio_linear.weight,transform_acts,unbalanced,update_acts,weight_stats,width_ratio
exp_2025-01-28_05-17-56_980059,93.10999816656113,93.19999837875366,54.89,93.89,93.11,-38.30999837875366,-41.10514919009591,0.6900016212463385,0.7403451000527428,41.84549429014865,3.2092837260570377,False,200,True,raw,21,1.7904204840306193,0.7,/otfusion/tmp/otfusion,1000,64,False,0 2 4 6 8,0.1,False,best,False,5,0,"{'dataset': 'Cifar10', 'model': 'resnet18_nobias_nobn', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [150, 250], 'optimizer_decay_with_factor': 10.0, 'optimizer_learning_rate': 0.1, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0001, 'batch_size': 256, 'num_epochs': 300, 'seed': 42}",/otfusion/tmp/otfusion/exp_sample/configurations,,True,/otfusion/tmp/otfusion/exp_sample/csv,Cifar10,False,,False,False,True,60,False,False,False,False,0.0,False,True,acts,0,False,square_loss,euclidean,False,none,True,,0.01,./resnet_models/,100,resnet18_nobias_nobn,0.5,300,False,False,False,True,400,400,200,100,50,2,25,generic,11164352,11164352,11164352,False,-1,labels,True,9,0.1,False,False,False,True,False,False,True,False,0.01,0.001,False,/otfusion/tmp/otfusion/exp_sample/results,0,False,False,-1,,,-1,/otfusion/tmp/otfusion/exp_sample,-1,sample.csv,"{'dataset': 'Cifar10', 'model': 'resnet18_nobias_nobn', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [150, 250], 'optimizer_decay_with_factor': 10.0, 'optimizer_learning_rate': 0.1, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0001, 'batch_size': 256, 'num_epochs': 300, 'seed': 42}",,normal,False,average,False,-1,1,False,21,exp_sample,20,False,./tensorboard,2025-01-28_05-17-56_980059,False,False,0.0625,0.01562500186264515,0.03125,0.015625,0.03125,0.015625,0.02343750186264515,0.015625,0.015625,0.015625,0.011718750931322575,0.0078125,0.0078125,0.0,0.00390625,0.001953125,0.001953125,0.0,0.0,0.001953125,1.0,False,False,False,True,1
exp_2025-01-28_05-18-12_616311,93.10999816656113,93.19999837875366,51.69,93.89,91.73,-41.509998378753664,-44.53862564467221,0.6900016212463385,0.7403451000527428,45.27897074472495,3.171317809028551,False,200,True,raw,21,1.7782349318731576,0.7,/otfusion/tmp/otfusion,1000,64,False,0 2 4 6 8,0.1,False,best,False,5,0,"{'dataset': 'Cifar10', 'model': 'resnet18_nobias_nobn', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [150, 250], 'optimizer_decay_with_factor': 10.0, 'optimizer_learning_rate': 0.1, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0001, 'batch_size': 256, 'num_epochs': 300, 'seed': 42}",/otfusion/tmp/otfusion/exp_sample/configurations,,True,/otfusion/tmp/otfusion/exp_sample/csv,Cifar10,False,,False,False,True,60,False,False,False,False,0.1,False,True,acts,0,False,square_loss,euclidean,False,none,True,,0.01,./resnet_models/,100,resnet18_nobias_nobn,0.5,300,False,False,False,True,400,400,200,100,50,2,25,generic,11164352,11164352,11164352,False,-1,labels,True,9,0.1,False,False,False,True,False,False,True,False,0.01,0.001,False,/otfusion/tmp/otfusion/exp_sample/results,0,False,False,-1,,,-1,/otfusion/tmp/otfusion/exp_sample,-1,sample.csv,"{'dataset': 'Cifar10', 'model': 'resnet18_nobias_nobn', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [150, 250], 'optimizer_decay_with_factor': 10.0, 'optimizer_learning_rate': 0.1, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0001, 'batch_size': 256, 'num_epochs': 300, 'seed': 42}",,normal,False,average,False,-1,1,False,21,exp_sample,20,False,./tensorboard,2025-01-28_05-18-12_616311,False,False,0.0625,0.01562500186264515,0.03125,0.015625,0.03125,0.015625,0.02343750186264515,0.015625,0.015625,0.015625,0.011718750931322575,0.0078125,0.0078125,0.0,0.00390625,0.001953125,0.001953125,0.0,0.0,0.001953125,1.0,False,False,False,True,1
exp_2025-01-28_05-18-28_013427,93.10999816656113,93.19999837875366,50.69,93.89,86.49,-42.509998378753664,-45.6115870367273,0.6900016212463385,0.7403451000527428,46.35193213678004,3.162207846995443,False,200,True,raw,21,1.748836284969002,0.7,/otfusion/tmp/otfusion,1000,64,False,0 2 4 6 8,0.1,False,best,False,5,0,"{'dataset': 'Cifar10', 'model': 'resnet18_nobias_nobn', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [150, 250], 'optimizer_decay_with_factor': 10.0, 'optimizer_learning_rate': 0.1, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0001, 'batch_size': 256, 'num_epochs': 300, 'seed': 42}",/otfusion/tmp/otfusion/exp_sample/configurations,,True,/otfusion/tmp/otfusion/exp_sample/csv,Cifar10,False,,False,False,True,60,False,False,False,False,0.2,False,True,acts,0,False,square_loss,euclidean,False,none,True,,0.01,./resnet_models/,100,resnet18_nobias_nobn,0.5,300,False,False,False,True,400,400,200,100,50,2,25,generic,11164352,11164352,11164352,False,-1,labels,True,9,0.1,False,False,False,True,False,False,True,False,0.01,0.001,False,/otfusion/tmp/otfusion/exp_sample/results,0,False,False,-1,,,-1,/otfusion/tmp/otfusion/exp_sample,-1,sample.csv,"{'dataset': 'Cifar10', 'model': 'resnet18_nobias_nobn', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [150, 250], 'optimizer_decay_with_factor': 10.0, 'optimizer_learning_rate': 0.1, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0001, 'batch_size': 256, 'num_epochs': 300, 'seed': 42}",,normal,False,average,False,-1,1,False,21,exp_sample,20,False,./tensorboard,2025-01-28_05-18-28_013427,False,False,0.0625,0.01562500186264515,0.03125,0.015625,0.03125,0.015625,0.02343750186264515,0.015625,0.015625,0.015625,0.011718750931322575,0.0078125,0.0078125,0.0,0.00390625,0.001953125,0.001953125,0.0,0.0,0.001953125,1.0,False,False,False,True,1
exp_2025-01-28_05-18-43_347171,93.10999816656113,93.19999837875366,52.84,93.89,69.99,-40.35999837875366,-43.30472004380885,0.6900016212463385,0.7403451000527428,44.04506514386159,3.1828763969242573,False,200,True,raw,21,1.771918314974755,0.7,/otfusion/tmp/otfusion,1000,64,False,0 2 4 6 8,0.1,False,best,False,5,0,"{'dataset': 'Cifar10', 'model': 'resnet18_nobias_nobn', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [150, 250], 'optimizer_decay_with_factor': 10.0, 'optimizer_learning_rate': 0.1, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0001, 'batch_size': 256, 'num_epochs': 300, 'seed': 42}",/otfusion/tmp/otfusion/exp_sample/configurations,,True,/otfusion/tmp/otfusion/exp_sample/csv,Cifar10,False,,False,False,True,60,False,False,False,False,0.3,False,True,acts,0,False,square_loss,euclidean,False,none,True,,0.01,./resnet_models/,100,resnet18_nobias_nobn,0.5,300,False,False,False,True,400,400,200,100,50,2,25,generic,11164352,11164352,11164352,False,-1,labels,True,9,0.1,False,False,False,True,False,False,True,False,0.01,0.001,False,/otfusion/tmp/otfusion/exp_sample/results,0,False,False,-1,,,-1,/otfusion/tmp/otfusion/exp_sample,-1,sample.csv,"{'dataset': 'Cifar10', 'model': 'resnet18_nobias_nobn', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [150, 250], 'optimizer_decay_with_factor': 10.0, 'optimizer_learning_rate': 0.1, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0001, 'batch_size': 256, 'num_epochs': 300, 'seed': 42}",,normal,False,average,False,-1,1,False,21,exp_sample,20,False,./tensorboard,2025-01-28_05-18-43_347171,False,False,0.0625,0.01562500186264515,0.03125,0.015625,0.03125,0.015625,0.02343750186264515,0.015625,0.015625,0.015625,0.011718750931322575,0.0078125,0.0078125,0.0,0.00390625,0.001953125,0.001953125,0.0,0.0,0.001953125,1.0,False,False,False,True,1
exp_2025-01-28_05-18-58_851997,93.10999816656113,93.19999837875366,58.68,93.89,32.5,-34.51999837875366,-37.038625514207105,0.6900016212463385,0.7403451000527428,37.77897061425985,3.1950442970264703,False,200,True,raw,21,1.7669179199729115,0.7,/otfusion/tmp/otfusion,1000,64,False,0 2 4 6 8,0.1,False,best,False,5,0,"{'dataset': 'Cifar10', 'model': 'resnet18_nobias_nobn', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [150, 250], 'optimizer_decay_with_factor': 10.0, 'optimizer_learning_rate': 0.1, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0001, 'batch_size': 256, 'num_epochs': 300, 'seed': 42}",/otfusion/tmp/otfusion/exp_sample/configurations,,True,/otfusion/tmp/otfusion/exp_sample/csv,Cifar10,False,,False,False,True,60,False,False,False,False,0.4,False,True,acts,0,False,square_loss,euclidean,False,none,True,,0.01,./resnet_models/,100,resnet18_nobias_nobn,0.5,300,False,False,False,True,400,400,200,100,50,2,25,generic,11164352,11164352,11164352,False,-1,labels,True,9,0.1,False,False,False,True,False,False,True,False,0.01,0.001,False,/otfusion/tmp/otfusion/exp_sample/results,0,False,False,-1,,,-1,/otfusion/tmp/otfusion/exp_sample,-1,sample.csv,"{'dataset': 'Cifar10', 'model': 'resnet18_nobias_nobn', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [150, 250], 'optimizer_decay_with_factor': 10.0, 'optimizer_learning_rate': 0.1, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0001, 'batch_size': 256, 'num_epochs': 300, 'seed': 42}",,normal,False,average,False,-1,1,False,21,exp_sample,20,False,./tensorboard,2025-01-28_05-18-58_851997,False,False,0.0625,0.01562500186264515,0.03125,0.015625,0.03125,0.015625,0.02343750186264515,0.015625,0.015625,0.015625,0.011718750931322575,0.0078125,0.0078125,0.0,0.00390625,0.001953125,0.001953125,0.0,0.0,0.001953125,1.0,False,False,False,True,1
exp_2025-01-28_05-19-14_397348,93.10999816656113,93.19999837875366,67.24,93.89,18.49,-25.959998378753667,-27.854075998215507,0.6900016212463385,0.7403451000527428,28.59442109826825,3.183453315170482,False,200,True,raw,21,1.8161640549078584,0.7,/otfusion/tmp/otfusion,1000,64,False,0 2 4 6 8,0.1,False,best,False,5,0,"{'dataset': 'Cifar10', 'model': 'resnet18_nobias_nobn', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [150, 250], 'optimizer_decay_with_factor': 10.0, 'optimizer_learning_rate': 0.1, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0001, 'batch_size': 256, 'num_epochs': 300, 'seed': 42}",/otfusion/tmp/otfusion/exp_sample/configurations,,True,/otfusion/tmp/otfusion/exp_sample/csv,Cifar10,False,,False,False,True,60,False,False,False,False,0.5,False,True,acts,0,False,square_loss,euclidean,False,none,True,,0.01,./resnet_models/,100,resnet18_nobias_nobn,0.5,300,False,False,False,True,400,400,200,100,50,2,25,generic,11164352,11164352,11164352,False,-1,labels,True,9,0.1,False,False,False,True,False,False,True,False,0.01,0.001,False,/otfusion/tmp/otfusion/exp_sample/results,0,False,False,-1,,,-1,/otfusion/tmp/otfusion/exp_sample,-1,sample.csv,"{'dataset': 'Cifar10', 'model': 'resnet18_nobias_nobn', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [150, 250], 'optimizer_decay_with_factor': 10.0, 'optimizer_learning_rate': 0.1, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0001, 'batch_size': 256, 'num_epochs': 300, 'seed': 42}",,normal,False,average,False,-1,1,False,21,exp_sample,20,False,./tensorboard,2025-01-28_05-19-14_397348,False,False,0.0625,0.01562500186264515,0.03125,0.015625,0.03125,0.015625,0.02343750186264515,0.015625,0.015625,0.015625,0.011718750931322575,0.0078125,0.0078125,0.0,0.00390625,0.001953125,0.001953125,0.0,0.0,0.001953125,1.0,False,False,False,True,1
exp_2025-01-28_05-19-29_943622,93.10999816656113,93.19999837875366,76.66,93.89,32.38,-16.539998378753666,-17.746779685056527,0.6900016212463385,0.7403451000527428,18.48712478510927,3.1821474940516055,False,200,True,raw,21,1.7891327489633113,0.7,/otfusion/tmp/otfusion,1000,64,False,0 2 4 6 8,0.1,False,best,False,5,0,"{'dataset': 'Cifar10', 'model': 'resnet18_nobias_nobn', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [150, 250], 'optimizer_decay_with_factor': 10.0, 'optimizer_learning_rate': 0.1, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0001, 'batch_size': 256, 'num_epochs': 300, 'seed': 42}",/otfusion/tmp/otfusion/exp_sample/configurations,,True,/otfusion/tmp/otfusion/exp_sample/csv,Cifar10,False,,False,False,True,60,False,False,False,False,0.6,False,True,acts,0,False,square_loss,euclidean,False,none,True,,0.01,./resnet_models/,100,resnet18_nobias_nobn,0.5,300,False,False,False,True,400,400,200,100,50,2,25,generic,11164352,11164352,11164352,False,-1,labels,True,9,0.1,False,False,False,True,False,False,True,False,0.01,0.001,False,/otfusion/tmp/otfusion/exp_sample/results,0,False,False,-1,,,-1,/otfusion/tmp/otfusion/exp_sample,-1,sample.csv,"{'dataset': 'Cifar10', 'model': 'resnet18_nobias_nobn', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [150, 250], 'optimizer_decay_with_factor': 10.0, 'optimizer_learning_rate': 0.1, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0001, 'batch_size': 256, 'num_epochs': 300, 'seed': 42}",,normal,False,average,False,-1,1,False,21,exp_sample,20,False,./tensorboard,2025-01-28_05-19-29_943622,False,False,0.0625,0.01562500186264515,0.03125,0.015625,0.03125,0.015625,0.02343750186264515,0.015625,0.015625,0.015625,0.011718750931322575,0.0078125,0.0078125,0.0,0.00390625,0.001953125,0.001953125,0.0,0.0,0.001953125,1.0,False,False,False,True,1
exp_2025-01-28_05-19-45_501303,93.10999816656113,93.19999837875366,84.95,93.89,69.81,-8.24999837875366,-8.851929744919792,0.6900016212463385,0.7403451000527428,9.592274844972534,3.1741959769278765,False,200,True,raw,21,1.829994638916105,0.7,/otfusion/tmp/otfusion,1000,64,False,0 2 4 6 8,0.1,False,best,False,5,0,"{'dataset': 'Cifar10', 'model': 'resnet18_nobias_nobn', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [150, 250], 'optimizer_decay_with_factor': 10.0, 'optimizer_learning_rate': 0.1, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0001, 'batch_size': 256, 'num_epochs': 300, 'seed': 42}",/otfusion/tmp/otfusion/exp_sample/configurations,,True,/otfusion/tmp/otfusion/exp_sample/csv,Cifar10,False,,False,False,True,60,False,False,False,False,0.7,False,True,acts,0,False,square_loss,euclidean,False,none,True,,0.01,./resnet_models/,100,resnet18_nobias_nobn,0.5,300,False,False,False,True,400,400,200,100,50,2,25,generic,11164352,11164352,11164352,False,-1,labels,True,9,0.1,False,False,False,True,False,False,True,False,0.01,0.001,False,/otfusion/tmp/otfusion/exp_sample/results,0,False,False,-1,,,-1,/otfusion/tmp/otfusion/exp_sample,-1,sample.csv,"{'dataset': 'Cifar10', 'model': 'resnet18_nobias_nobn', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [150, 250], 'optimizer_decay_with_factor': 10.0, 'optimizer_learning_rate': 0.1, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0001, 'batch_size': 256, 'num_epochs': 300, 'seed': 42}",,normal,False,average,False,-1,1,False,21,exp_sample,20,False,./tensorboard,2025-01-28_05-19-45_501303,False,False,0.0625,0.01562500186264515,0.03125,0.015625,0.03125,0.015625,0.02343750186264515,0.015625,0.015625,0.015625,0.011718750931322575,0.0078125,0.0078125,0.0,0.00390625,0.001953125,0.001953125,0.0,0.0,0.001953125,1.0,False,False,False,True,1
exp_2025-01-28_05-20-01_137146,93.10999816656113,93.19999837875366,89.73,93.89,86.74,-3.469998378753658,-3.723174290896443,0.6900016212463385,0.7403451000527428,4.463519390949186,3.2066824089270085,False,200,True,raw,21,1.801763417897746,0.7,/otfusion/tmp/otfusion,1000,64,False,0 2 4 6 8,0.1,False,best,False,5,0,"{'dataset': 'Cifar10', 'model': 'resnet18_nobias_nobn', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [150, 250], 'optimizer_decay_with_factor': 10.0, 'optimizer_learning_rate': 0.1, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0001, 'batch_size': 256, 'num_epochs': 300, 'seed': 42}",/otfusion/tmp/otfusion/exp_sample/configurations,,True,/otfusion/tmp/otfusion/exp_sample/csv,Cifar10,False,,False,False,True,60,False,False,False,False,0.8,False,True,acts,0,False,square_loss,euclidean,False,none,True,,0.01,./resnet_models/,100,resnet18_nobias_nobn,0.5,300,False,False,False,True,400,400,200,100,50,2,25,generic,11164352,11164352,11164352,False,-1,labels,True,9,0.1,False,False,False,True,False,False,True,False,0.01,0.001,False,/otfusion/tmp/otfusion/exp_sample/results,0,False,False,-1,,,-1,/otfusion/tmp/otfusion/exp_sample,-1,sample.csv,"{'dataset': 'Cifar10', 'model': 'resnet18_nobias_nobn', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [150, 250], 'optimizer_decay_with_factor': 10.0, 'optimizer_learning_rate': 0.1, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0001, 'batch_size': 256, 'num_epochs': 300, 'seed': 42}",,normal,False,average,False,-1,1,False,21,exp_sample,20,False,./tensorboard,2025-01-28_05-20-01_137146,False,False,0.0625,0.01562500186264515,0.03125,0.015625,0.03125,0.015625,0.02343750186264515,0.015625,0.015625,0.015625,0.011718750931322575,0.0078125,0.0078125,0.0,0.00390625,0.001953125,0.001953125,0.0,0.0,0.001953125,1.0,False,False,False,True,1
exp_2025-01-28_05-20-16_872984,93.10999816656113,93.19999837875366,92.07,93.89,91.6,-1.129998378753669,-1.2124446334875356,0.6900016212463385,0.7403451000527428,1.9527897335402784,3.162626976147294,False,200,True,raw,21,1.742246954003349,0.7,/otfusion/tmp/otfusion,1000,64,False,0 2 4 6 8,0.1,False,best,False,5,0,"{'dataset': 'Cifar10', 'model': 'resnet18_nobias_nobn', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [150, 250], 'optimizer_decay_with_factor': 10.0, 'optimizer_learning_rate': 0.1, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0001, 'batch_size': 256, 'num_epochs': 300, 'seed': 42}",/otfusion/tmp/otfusion/exp_sample/configurations,,True,/otfusion/tmp/otfusion/exp_sample/csv,Cifar10,False,,False,False,True,60,False,False,False,False,0.9,False,True,acts,0,False,square_loss,euclidean,False,none,True,,0.01,./resnet_models/,100,resnet18_nobias_nobn,0.5,300,False,False,False,True,400,400,200,100,50,2,25,generic,11164352,11164352,11164352,False,-1,labels,True,9,0.1,False,False,False,True,False,False,True,False,0.01,0.001,False,/otfusion/tmp/otfusion/exp_sample/results,0,False,False,-1,,,-1,/otfusion/tmp/otfusion/exp_sample,-1,sample.csv,"{'dataset': 'Cifar10', 'model': 'resnet18_nobias_nobn', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [150, 250], 'optimizer_decay_with_factor': 10.0, 'optimizer_learning_rate': 0.1, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0001, 'batch_size': 256, 'num_epochs': 300, 'seed': 42}",,normal,False,average,False,-1,1,False,21,exp_sample,20,False,./tensorboard,2025-01-28_05-20-16_872984,False,False,0.0625,0.01562500186264515,0.03125,0.015625,0.03125,0.015625,0.02343750186264515,0.015625,0.015625,0.015625,0.011718750931322575,0.0078125,0.0078125,0.0,0.00390625,0.001953125,0.001953125,0.0,0.0,0.001953125,1.0,False,False,False,True,1
exp_2025-01-28_05-20-32_281179,93.10999816656113,93.19999837875366,93.2,93.89,93.2,1.621246340732796e-06,1.7395347306168873e-06,0.6900016212463385,0.7403451000527428,0.7403433605180122,3.1775454259477556,False,200,True,raw,21,1.782703340984881,0.7,/otfusion/tmp/otfusion,1000,64,False,0 2 4 6 8,0.1,False,best,False,5,0,"{'dataset': 'Cifar10', 'model': 'resnet18_nobias_nobn', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [150, 250], 'optimizer_decay_with_factor': 10.0, 'optimizer_learning_rate': 0.1, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0001, 'batch_size': 256, 'num_epochs': 300, 'seed': 42}",/otfusion/tmp/otfusion/exp_sample/configurations,,True,/otfusion/tmp/otfusion/exp_sample/csv,Cifar10,False,,False,False,True,60,False,False,False,False,1.0,False,True,acts,0,False,square_loss,euclidean,False,none,True,,0.01,./resnet_models/,100,resnet18_nobias_nobn,0.5,300,False,False,False,True,400,400,200,100,50,2,25,generic,11164352,11164352,11164352,False,-1,labels,True,9,0.1,False,False,False,True,False,False,True,False,0.01,0.001,False,/otfusion/tmp/otfusion/exp_sample/results,0,False,False,-1,,,-1,/otfusion/tmp/otfusion/exp_sample,-1,sample.csv,"{'dataset': 'Cifar10', 'model': 'resnet18_nobias_nobn', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [150, 250], 'optimizer_decay_with_factor': 10.0, 'optimizer_learning_rate': 0.1, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0001, 'batch_size': 256, 'num_epochs': 300, 'seed': 42}",,normal,False,average,False,-1,1,False,21,exp_sample,20,False,./tensorboard,2025-01-28_05-20-32_281179,False,False,0.0625,0.01562500186264515,0.03125,0.015625,0.03125,0.015625,0.02343750186264515,0.015625,0.015625,0.015625,0.011718750931322575,0.0078125,0.0078125,0.0,0.00390625,0.001953125,0.001953125,0.0,0.0,0.001953125,1.0,False,False,False,True,1
