exp_name,model0_acc,model1_acc,geometric_acc,prediction_acc,naive_acc,geometric_gain,geometric_gain_%,prediction_gain,prediction_gain_%,relative_loss_wrt_prediction,geometric_time,act_bug,act_num_samples,activation_histograms,activation_mode,activation_seed,activation_time,alpha,baseroot,batch_size_test,batch_size_train,center_acts,choice,cifar_init_lr,cifar_style_data,ckpt_type,clip_gm,clip_max,clip_min,config,config_dir,config_file,correction,csv_dir,dataset,debug,deprecated,deterministic,diff_init,disable_bias,dist_epochs,dist_normalize,dump_final_models,dump_model,enable_dropout,ensemble_step,eval_aligned,exact,geom_ensemble_type,gpu_id,gromov,gromov_loss,ground_metric,ground_metric_eff,ground_metric_normalize,handle_skips,importance,learning_rate,load_models,log_interval,model_name,momentum,n_epochs,no_random_trainloaders,normalize_acts,normalize_wts,not_squared,num_hidden_nodes,num_hidden_nodes1,num_hidden_nodes2,num_hidden_nodes3,num_hidden_nodes4,num_models,options_type,params_geometric,params_model_0,params_model_1,partial_reshape,partition_dataloader,partition_type,past_correction,personal_class_idx,personal_split_frac,pool_acts,pool_relu,prediction_wts,prelu_acts,print_distances,proper_marginals,recheck_acc,recheck_cifar,reg,reg_m,reinit_trainloaders,result_dir,retrain,retrain_avg_only,retrain_geometric_only,retrain_lr_decay,retrain_lr_decay_epochs,retrain_lr_decay_factor,retrain_seed,rootdir,same_model,save_result_file,second_config,second_model_name,sinkhorn_type,skip_last_layer,skip_last_layer_type,skip_personal_idx,skip_retrain,softmax_temperature,standardize_acts,sweep_id,sweep_name,temperature,tensorboard,tensorboard_root,timestamp,tmap_stats,to_download,trace_sum_ratio_classifier.weight,trace_sum_ratio_features.0.weight,trace_sum_ratio_features.11.weight,trace_sum_ratio_features.13.weight,trace_sum_ratio_features.16.weight,trace_sum_ratio_features.18.weight,trace_sum_ratio_features.3.weight,trace_sum_ratio_features.6.weight,trace_sum_ratio_features.8.weight,transform_acts,unbalanced,update_acts,weight_stats,width_ratio
exp_2025-01-28_05-34-55_701671,90.30999821424489,90.4999980330467,90.3,91.34,90.31,-0.19999803304669683,-0.2209923065121683,0.8400019669533094,0.9281789891824936,1.149171295694662,1.4190084338188171,False,100,False,,21,1.4644814655184746e-05,0.7,/otfusion/tmp/otfusion,1000,64,False,0 2 4 6 8,0.05,False,best,False,5,0,"{'dataset': 'Cifar10', 'model': 'vgg11_nobias', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [30, 60, 90, 120, 150, 180, 210, 240, 270], 'optimizer_decay_with_factor': 2.0, 'optimizer_learning_rate': 0.05, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0005, 'batch_size': 128, 'num_epochs': 300, 'seed': 42}",/otfusion/tmp/otfusion/exp_sample/configurations,,True,/otfusion/tmp/otfusion/exp_sample/csv,Cifar10,False,,False,False,True,60,False,False,False,False,0.0,False,True,wts,0,False,square_loss,euclidean,True,none,False,,0.01,./cifar_models/,100,vgg11_nobias,0.5,300,False,False,True,True,400,400,200,100,50,2,generic,9222848,9222848,9222848,False,-1,labels,True,9,0.1,False,False,False,True,False,False,False,True,0.01,0.001,False,/otfusion/tmp/otfusion/exp_sample/results,0,False,False,-1,,,-1,/otfusion/tmp/otfusion/exp_sample,-1,sample.csv,"{'dataset': 'Cifar10', 'model': 'vgg11_nobias', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [30, 60, 90, 120, 150, 180, 210, 240, 270], 'optimizer_decay_with_factor': 2.0, 'optimizer_learning_rate': 0.05, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0005, 'batch_size': 128, 'num_epochs': 300, 'seed': 42}",,normal,False,average,False,-1,1,False,90,exp_sample,20,False,./tensorboard,2025-01-28_05-34-55_701671,False,False,1.0,0.046875,0.001953125,0.001953125,0.001953125,0.005859374534338713,0.0,0.0,0.0078125,False,False,False,True,1
exp_2025-01-28_05-35-06_277858,90.30999821424489,90.4999980330467,90.05,91.34,90.08,-0.44999803304669683,-0.49723540643876807,0.8400019669533094,0.9281789891824936,1.4254143956212617,1.455772171029821,False,100,False,,21,1.2157019227743149e-05,0.7,/otfusion/tmp/otfusion,1000,64,False,0 2 4 6 8,0.05,False,best,False,5,0,"{'dataset': 'Cifar10', 'model': 'vgg11_nobias', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [30, 60, 90, 120, 150, 180, 210, 240, 270], 'optimizer_decay_with_factor': 2.0, 'optimizer_learning_rate': 0.05, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0005, 'batch_size': 128, 'num_epochs': 300, 'seed': 42}",/otfusion/tmp/otfusion/exp_sample/configurations,,True,/otfusion/tmp/otfusion/exp_sample/csv,Cifar10,False,,False,False,True,60,False,False,False,False,0.1,False,True,wts,0,False,square_loss,euclidean,True,none,False,,0.01,./cifar_models/,100,vgg11_nobias,0.5,300,False,False,True,True,400,400,200,100,50,2,generic,9222848,9222848,9222848,False,-1,labels,True,9,0.1,False,False,False,True,False,False,False,True,0.01,0.001,False,/otfusion/tmp/otfusion/exp_sample/results,0,False,False,-1,,,-1,/otfusion/tmp/otfusion/exp_sample,-1,sample.csv,"{'dataset': 'Cifar10', 'model': 'vgg11_nobias', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [30, 60, 90, 120, 150, 180, 210, 240, 270], 'optimizer_decay_with_factor': 2.0, 'optimizer_learning_rate': 0.05, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0005, 'batch_size': 128, 'num_epochs': 300, 'seed': 42}",,normal,False,average,False,-1,1,False,90,exp_sample,20,False,./tensorboard,2025-01-28_05-35-06_277858,False,False,1.0,0.046875,0.001953125,0.001953125,0.001953125,0.005859374534338713,0.0,0.0,0.0078125,False,False,False,True,1
exp_2025-01-28_05-35-16_848892,90.30999821424489,90.4999980330467,89.22,91.34,88.93,-1.2799980330466951,-1.4143624981950773,0.8400019669533094,0.9281789891824936,2.342541487377571,1.4210681249387562,False,100,False,,21,1.9376864656805992e-05,0.7,/otfusion/tmp/otfusion,1000,64,False,0 2 4 6 8,0.05,False,best,False,5,0,"{'dataset': 'Cifar10', 'model': 'vgg11_nobias', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [30, 60, 90, 120, 150, 180, 210, 240, 270], 'optimizer_decay_with_factor': 2.0, 'optimizer_learning_rate': 0.05, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0005, 'batch_size': 128, 'num_epochs': 300, 'seed': 42}",/otfusion/tmp/otfusion/exp_sample/configurations,,True,/otfusion/tmp/otfusion/exp_sample/csv,Cifar10,False,,False,False,True,60,False,False,False,False,0.2,False,True,wts,0,False,square_loss,euclidean,True,none,False,,0.01,./cifar_models/,100,vgg11_nobias,0.5,300,False,False,True,True,400,400,200,100,50,2,generic,9222848,9222848,9222848,False,-1,labels,True,9,0.1,False,False,False,True,False,False,False,True,0.01,0.001,False,/otfusion/tmp/otfusion/exp_sample/results,0,False,False,-1,,,-1,/otfusion/tmp/otfusion/exp_sample,-1,sample.csv,"{'dataset': 'Cifar10', 'model': 'vgg11_nobias', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [30, 60, 90, 120, 150, 180, 210, 240, 270], 'optimizer_decay_with_factor': 2.0, 'optimizer_learning_rate': 0.05, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0005, 'batch_size': 128, 'num_epochs': 300, 'seed': 42}",,normal,False,average,False,-1,1,False,90,exp_sample,20,False,./tensorboard,2025-01-28_05-35-16_848892,False,False,1.0,0.046875,0.001953125,0.001953125,0.001953125,0.005859374534338713,0.0,0.0,0.0078125,False,False,False,True,1
exp_2025-01-28_05-35-27_431463,90.30999821424489,90.4999980330467,88.22,91.34,84.47,-2.279998033046695,-2.5193348979014765,0.8400019669533094,0.9281789891824936,3.44751388708397,1.4314253549091518,False,100,False,,21,1.385505311191082e-05,0.7,/otfusion/tmp/otfusion,1000,64,False,0 2 4 6 8,0.05,False,best,False,5,0,"{'dataset': 'Cifar10', 'model': 'vgg11_nobias', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [30, 60, 90, 120, 150, 180, 210, 240, 270], 'optimizer_decay_with_factor': 2.0, 'optimizer_learning_rate': 0.05, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0005, 'batch_size': 128, 'num_epochs': 300, 'seed': 42}",/otfusion/tmp/otfusion/exp_sample/configurations,,True,/otfusion/tmp/otfusion/exp_sample/csv,Cifar10,False,,False,False,True,60,False,False,False,False,0.3,False,True,wts,0,False,square_loss,euclidean,True,none,False,,0.01,./cifar_models/,100,vgg11_nobias,0.5,300,False,False,True,True,400,400,200,100,50,2,generic,9222848,9222848,9222848,False,-1,labels,True,9,0.1,False,False,False,True,False,False,False,True,0.01,0.001,False,/otfusion/tmp/otfusion/exp_sample/results,0,False,False,-1,,,-1,/otfusion/tmp/otfusion/exp_sample,-1,sample.csv,"{'dataset': 'Cifar10', 'model': 'vgg11_nobias', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [30, 60, 90, 120, 150, 180, 210, 240, 270], 'optimizer_decay_with_factor': 2.0, 'optimizer_learning_rate': 0.05, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0005, 'batch_size': 128, 'num_epochs': 300, 'seed': 42}",,normal,False,average,False,-1,1,False,90,exp_sample,20,False,./tensorboard,2025-01-28_05-35-27_431463,False,False,1.0,0.046875,0.001953125,0.001953125,0.001953125,0.005859374534338713,0.0,0.0,0.0078125,False,False,False,True,1
exp_2025-01-28_05-35-37_934944,90.30999821424489,90.4999980330467,86.51,91.34,67.41,-3.989998033046689,-4.408837701399412,0.8400019669533094,0.9281789891824936,5.337016690581905,1.424271987983957,False,100,False,,21,1.2486940249800682e-05,0.7,/otfusion/tmp/otfusion,1000,64,False,0 2 4 6 8,0.05,False,best,False,5,0,"{'dataset': 'Cifar10', 'model': 'vgg11_nobias', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [30, 60, 90, 120, 150, 180, 210, 240, 270], 'optimizer_decay_with_factor': 2.0, 'optimizer_learning_rate': 0.05, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0005, 'batch_size': 128, 'num_epochs': 300, 'seed': 42}",/otfusion/tmp/otfusion/exp_sample/configurations,,True,/otfusion/tmp/otfusion/exp_sample/csv,Cifar10,False,,False,False,True,60,False,False,False,False,0.4,False,True,wts,0,False,square_loss,euclidean,True,none,False,,0.01,./cifar_models/,100,vgg11_nobias,0.5,300,False,False,True,True,400,400,200,100,50,2,generic,9222848,9222848,9222848,False,-1,labels,True,9,0.1,False,False,False,True,False,False,False,True,0.01,0.001,False,/otfusion/tmp/otfusion/exp_sample/results,0,False,False,-1,,,-1,/otfusion/tmp/otfusion/exp_sample,-1,sample.csv,"{'dataset': 'Cifar10', 'model': 'vgg11_nobias', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [30, 60, 90, 120, 150, 180, 210, 240, 270], 'optimizer_decay_with_factor': 2.0, 'optimizer_learning_rate': 0.05, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0005, 'batch_size': 128, 'num_epochs': 300, 'seed': 42}",,normal,False,average,False,-1,1,False,90,exp_sample,20,False,./tensorboard,2025-01-28_05-35-37_934944,False,False,1.0,0.046875,0.001953125,0.001953125,0.001953125,0.005859374534338713,0.0,0.0,0.0078125,False,False,False,True,1
exp_2025-01-28_05-35-48_413565,90.30999821424489,90.4999980330467,86.0,91.34,17.02,-4.499998033046694,-4.9723736252496815,0.8400019669533094,0.9281789891824936,5.900552614432176,1.4441630048677325,False,100,False,,21,1.2969132512807846e-05,0.7,/otfusion/tmp/otfusion,1000,64,False,0 2 4 6 8,0.05,False,best,False,5,0,"{'dataset': 'Cifar10', 'model': 'vgg11_nobias', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [30, 60, 90, 120, 150, 180, 210, 240, 270], 'optimizer_decay_with_factor': 2.0, 'optimizer_learning_rate': 0.05, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0005, 'batch_size': 128, 'num_epochs': 300, 'seed': 42}",/otfusion/tmp/otfusion/exp_sample/configurations,,True,/otfusion/tmp/otfusion/exp_sample/csv,Cifar10,False,,False,False,True,60,False,False,False,False,0.5,False,True,wts,0,False,square_loss,euclidean,True,none,False,,0.01,./cifar_models/,100,vgg11_nobias,0.5,300,False,False,True,True,400,400,200,100,50,2,generic,9222848,9222848,9222848,False,-1,labels,True,9,0.1,False,False,False,True,False,False,False,True,0.01,0.001,False,/otfusion/tmp/otfusion/exp_sample/results,0,False,False,-1,,,-1,/otfusion/tmp/otfusion/exp_sample,-1,sample.csv,"{'dataset': 'Cifar10', 'model': 'vgg11_nobias', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [30, 60, 90, 120, 150, 180, 210, 240, 270], 'optimizer_decay_with_factor': 2.0, 'optimizer_learning_rate': 0.05, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0005, 'batch_size': 128, 'num_epochs': 300, 'seed': 42}",,normal,False,average,False,-1,1,False,90,exp_sample,20,False,./tensorboard,2025-01-28_05-35-48_413565,False,False,1.0,0.046875,0.001953125,0.001953125,0.001953125,0.005859374534338713,0.0,0.0,0.0078125,False,False,False,True,1
exp_2025-01-28_05-35-59_100432,90.30999821424489,90.4999980330467,86.86,91.34,63.71,-3.6399980330466946,-4.022097361502179,0.8400019669533094,0.9281789891824936,4.950276350684673,1.4804677059873939,False,100,False,,21,1.4899997040629387e-05,0.7,/otfusion/tmp/otfusion,1000,64,False,0 2 4 6 8,0.05,False,best,False,5,0,"{'dataset': 'Cifar10', 'model': 'vgg11_nobias', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [30, 60, 90, 120, 150, 180, 210, 240, 270], 'optimizer_decay_with_factor': 2.0, 'optimizer_learning_rate': 0.05, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0005, 'batch_size': 128, 'num_epochs': 300, 'seed': 42}",/otfusion/tmp/otfusion/exp_sample/configurations,,True,/otfusion/tmp/otfusion/exp_sample/csv,Cifar10,False,,False,False,True,60,False,False,False,False,0.6,False,True,wts,0,False,square_loss,euclidean,True,none,False,,0.01,./cifar_models/,100,vgg11_nobias,0.5,300,False,False,True,True,400,400,200,100,50,2,generic,9222848,9222848,9222848,False,-1,labels,True,9,0.1,False,False,False,True,False,False,False,True,0.01,0.001,False,/otfusion/tmp/otfusion/exp_sample/results,0,False,False,-1,,,-1,/otfusion/tmp/otfusion/exp_sample,-1,sample.csv,"{'dataset': 'Cifar10', 'model': 'vgg11_nobias', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [30, 60, 90, 120, 150, 180, 210, 240, 270], 'optimizer_decay_with_factor': 2.0, 'optimizer_learning_rate': 0.05, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0005, 'batch_size': 128, 'num_epochs': 300, 'seed': 42}",,normal,False,average,False,-1,1,False,90,exp_sample,20,False,./tensorboard,2025-01-28_05-35-59_100432,False,False,1.0,0.046875,0.001953125,0.001953125,0.001953125,0.005859374534338713,0.0,0.0,0.0078125,False,False,False,True,1
exp_2025-01-28_05-36-09_745956,90.30999821424489,90.4999980330467,88.59,91.34,84.31,-1.9099980330466906,-2.110495110010104,0.8400019669533094,0.9281789891824936,3.0386740991925976,1.445160293020308,False,100,False,,21,1.4676013961434364e-05,0.7,/otfusion/tmp/otfusion,1000,64,False,0 2 4 6 8,0.05,False,best,False,5,0,"{'dataset': 'Cifar10', 'model': 'vgg11_nobias', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [30, 60, 90, 120, 150, 180, 210, 240, 270], 'optimizer_decay_with_factor': 2.0, 'optimizer_learning_rate': 0.05, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0005, 'batch_size': 128, 'num_epochs': 300, 'seed': 42}",/otfusion/tmp/otfusion/exp_sample/configurations,,True,/otfusion/tmp/otfusion/exp_sample/csv,Cifar10,False,,False,False,True,60,False,False,False,False,0.7,False,True,wts,0,False,square_loss,euclidean,True,none,False,,0.01,./cifar_models/,100,vgg11_nobias,0.5,300,False,False,True,True,400,400,200,100,50,2,generic,9222848,9222848,9222848,False,-1,labels,True,9,0.1,False,False,False,True,False,False,False,True,0.01,0.001,False,/otfusion/tmp/otfusion/exp_sample/results,0,False,False,-1,,,-1,/otfusion/tmp/otfusion/exp_sample,-1,sample.csv,"{'dataset': 'Cifar10', 'model': 'vgg11_nobias', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [30, 60, 90, 120, 150, 180, 210, 240, 270], 'optimizer_decay_with_factor': 2.0, 'optimizer_learning_rate': 0.05, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0005, 'batch_size': 128, 'num_epochs': 300, 'seed': 42}",,normal,False,average,False,-1,1,False,90,exp_sample,20,False,./tensorboard,2025-01-28_05-36-09_745956,False,False,1.0,0.046875,0.001953125,0.001953125,0.001953125,0.005859374534338713,0.0,0.0,0.0078125,False,False,False,True,1
exp_2025-01-28_05-36-20_279161,90.30999821424489,90.4999980330467,89.68,91.34,89.37,-0.8199980330466872,-0.9060751943301251,0.8400019669533094,0.9281789891824936,1.8342541835126187,1.4227017699740827,False,100,False,,21,1.6724923625588417e-05,0.7,/otfusion/tmp/otfusion,1000,64,False,0 2 4 6 8,0.05,False,best,False,5,0,"{'dataset': 'Cifar10', 'model': 'vgg11_nobias', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [30, 60, 90, 120, 150, 180, 210, 240, 270], 'optimizer_decay_with_factor': 2.0, 'optimizer_learning_rate': 0.05, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0005, 'batch_size': 128, 'num_epochs': 300, 'seed': 42}",/otfusion/tmp/otfusion/exp_sample/configurations,,True,/otfusion/tmp/otfusion/exp_sample/csv,Cifar10,False,,False,False,True,60,False,False,False,False,0.8,False,True,wts,0,False,square_loss,euclidean,True,none,False,,0.01,./cifar_models/,100,vgg11_nobias,0.5,300,False,False,True,True,400,400,200,100,50,2,generic,9222848,9222848,9222848,False,-1,labels,True,9,0.1,False,False,False,True,False,False,False,True,0.01,0.001,False,/otfusion/tmp/otfusion/exp_sample/results,0,False,False,-1,,,-1,/otfusion/tmp/otfusion/exp_sample,-1,sample.csv,"{'dataset': 'Cifar10', 'model': 'vgg11_nobias', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [30, 60, 90, 120, 150, 180, 210, 240, 270], 'optimizer_decay_with_factor': 2.0, 'optimizer_learning_rate': 0.05, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0005, 'batch_size': 128, 'num_epochs': 300, 'seed': 42}",,normal,False,average,False,-1,1,False,90,exp_sample,20,False,./tensorboard,2025-01-28_05-36-20_279161,False,False,1.0,0.046875,0.001953125,0.001953125,0.001953125,0.005859374534338713,0.0,0.0,0.0078125,False,False,False,True,1
exp_2025-01-28_05-36-30_725418,90.30999821424489,90.4999980330467,90.47,91.34,90.33,-0.029998033046695127,-0.033146998562078575,0.8400019669533094,0.9281789891824936,0.9613259877445722,1.4281554040499032,False,100,False,,21,1.3242941349744797e-05,0.7,/otfusion/tmp/otfusion,1000,64,False,0 2 4 6 8,0.05,False,best,False,5,0,"{'dataset': 'Cifar10', 'model': 'vgg11_nobias', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [30, 60, 90, 120, 150, 180, 210, 240, 270], 'optimizer_decay_with_factor': 2.0, 'optimizer_learning_rate': 0.05, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0005, 'batch_size': 128, 'num_epochs': 300, 'seed': 42}",/otfusion/tmp/otfusion/exp_sample/configurations,,True,/otfusion/tmp/otfusion/exp_sample/csv,Cifar10,False,,False,False,True,60,False,False,False,False,0.9,False,True,wts,0,False,square_loss,euclidean,True,none,False,,0.01,./cifar_models/,100,vgg11_nobias,0.5,300,False,False,True,True,400,400,200,100,50,2,generic,9222848,9222848,9222848,False,-1,labels,True,9,0.1,False,False,False,True,False,False,False,True,0.01,0.001,False,/otfusion/tmp/otfusion/exp_sample/results,0,False,False,-1,,,-1,/otfusion/tmp/otfusion/exp_sample,-1,sample.csv,"{'dataset': 'Cifar10', 'model': 'vgg11_nobias', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [30, 60, 90, 120, 150, 180, 210, 240, 270], 'optimizer_decay_with_factor': 2.0, 'optimizer_learning_rate': 0.05, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0005, 'batch_size': 128, 'num_epochs': 300, 'seed': 42}",,normal,False,average,False,-1,1,False,90,exp_sample,20,False,./tensorboard,2025-01-28_05-36-30_725418,False,False,1.0,0.046875,0.001953125,0.001953125,0.001953125,0.005859374534338713,0.0,0.0,0.0078125,False,False,False,True,1
exp_2025-01-28_05-36-41_169581,90.30999821424489,90.4999980330467,90.51,91.34,90.51,0.010001966953311126,0.011051897426184296,0.8400019669533094,0.9281789891824936,0.9171270917563094,1.4151356020011008,False,100,False,,21,1.6058096662163734e-05,0.7,/otfusion/tmp/otfusion,1000,64,False,0 2 4 6 8,0.05,False,best,False,5,0,"{'dataset': 'Cifar10', 'model': 'vgg11_nobias', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [30, 60, 90, 120, 150, 180, 210, 240, 270], 'optimizer_decay_with_factor': 2.0, 'optimizer_learning_rate': 0.05, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0005, 'batch_size': 128, 'num_epochs': 300, 'seed': 42}",/otfusion/tmp/otfusion/exp_sample/configurations,,True,/otfusion/tmp/otfusion/exp_sample/csv,Cifar10,False,,False,False,True,60,False,False,False,False,1.0,False,True,wts,0,False,square_loss,euclidean,True,none,False,,0.01,./cifar_models/,100,vgg11_nobias,0.5,300,False,False,True,True,400,400,200,100,50,2,generic,9222848,9222848,9222848,False,-1,labels,True,9,0.1,False,False,False,True,False,False,False,True,0.01,0.001,False,/otfusion/tmp/otfusion/exp_sample/results,0,False,False,-1,,,-1,/otfusion/tmp/otfusion/exp_sample,-1,sample.csv,"{'dataset': 'Cifar10', 'model': 'vgg11_nobias', 'optimizer': 'SGD', 'optimizer_decay_at_epochs': [30, 60, 90, 120, 150, 180, 210, 240, 270], 'optimizer_decay_with_factor': 2.0, 'optimizer_learning_rate': 0.05, 'optimizer_momentum': 0.9, 'optimizer_weight_decay': 0.0005, 'batch_size': 128, 'num_epochs': 300, 'seed': 42}",,normal,False,average,False,-1,1,False,90,exp_sample,20,False,./tensorboard,2025-01-28_05-36-41_169581,False,False,1.0,0.046875,0.001953125,0.001953125,0.001953125,0.005859374534338713,0.0,0.0,0.0078125,False,False,False,True,1
